"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2017-01-10;"SPPO";3038184
2017-01-11;"SPPO";2930971
2017-01-12;"SPPO";2896094
2017-01-13;"SPPO";2834030
2017-01-14;"SPPO";1991253
2017-01-15;"SPPO";1368470
2017-01-16;"SPPO";2931795
2017-01-17;"SPPO";2976833
2017-01-18;"SPPO";2995072
2017-01-19;"SPPO";2939556
2017-01-20;"SPPO";1524159
2017-01-21;"SPPO";1839957
2017-01-22;"SPPO";1291574
2017-01-23;"SPPO";2896440
2017-01-24;"SPPO";2913541
2017-01-25;"SPPO";2927555
2017-01-26;"SPPO";2903645
2017-01-27;"SPPO";2974057
2017-01-28;"SPPO";1974143
2017-01-29;"SPPO";1357413
2017-01-30;"SPPO";2943990
2017-01-31;"SPPO";3018289
2017-02-01;"SPPO";3150597
2017-02-02;"SPPO";3188553
2017-02-03;"SPPO";3205493
2017-02-04;"SPPO";2137266
2017-02-05;"SPPO";1408965
2017-02-06;"SPPO";3330566
2017-02-07;"SPPO";3369617
2017-02-08;"SPPO";3350568
2017-02-09;"SPPO";3321534
2017-02-10;"SPPO";3085270
2017-02-11;"SPPO";2072068
2017-02-12;"SPPO";1384958
2017-02-13;"SPPO";3299567
2017-02-14;"SPPO";3318628
2017-02-15;"SPPO";3346764
2017-02-16;"SPPO";3332422
2017-02-17;"SPPO";3297573
2017-02-18;"SPPO";2137381
2017-02-19;"SPPO";1435442
2017-02-20;"SPPO";3239005
2017-02-21;"SPPO";3291244
2017-02-22;"SPPO";3271667
2017-02-23;"SPPO";3154341
2017-02-24;"SPPO";2694767
2017-02-25;"SPPO";1695502
2017-02-26;"SPPO";1169450
2017-02-27;"SPPO";1349374
2017-02-28;"SPPO";1193408
2017-03-01;"SPPO";1734353
2017-03-02;"SPPO";2724951
2017-03-03;"SPPO";2824702
2017-03-04;"SPPO";1991685
2017-03-05;"SPPO";1373613
2017-03-06;"SPPO";3356360
2017-03-07;"SPPO";3400719
2017-03-08;"SPPO";3369524
2017-03-09;"SPPO";3417610
2017-03-10;"SPPO";3419716
2017-03-11;"SPPO";2169216
2017-03-12;"SPPO";1416926
2017-03-13;"SPPO";3386464
2017-03-14;"SPPO";3366547
2017-03-15;"SPPO";3144248
2017-03-16;"SPPO";3427371
2017-03-17;"SPPO";3384031
2017-03-18;"SPPO";2020096
2017-03-19;"SPPO";1242347
2017-03-20;"SPPO";3338322
2017-03-21;"SPPO";3397610
